slug,name,repo_url,description,usecase,size,tags,language,started,last_active,stars,demo_url
goduck,Goduck,https://github.com/senthilsweb/goduck,Dynamic REST API in Go inspired by RillData and MotherDuck; REST for tables and models following a micro-ORM design akin to PostgREST.,PostgREST-style instant APIs for DuckDB from a single Go binary.,medium,"OSS,Go,DuckDB,API",Go,2023-08-29,2024-02-23,2,
duckdb-studio,DuckDB Studio,https://github.com/senthilsweb/duckdb-studio,"Simple, powerful web utility to explore and interact with DuckDB databases.",Browser-based SQL editor and explorer for DuckDB with SQLGlot parsing.,medium,"OSS,DuckDB,Vue,SQL",Vue,2024-03-21,2024-04-12,10,https://www.senthilsweb.com/duckdb-studio
apache-iceberg,Zero-Cost Iceberg Lakehouse,https://github.com/senthilsweb/apache-iceberg,"Zero-cost Apache Iceberg lakehouse lab: Nessie catalog, Cloudflare R2, Neon PostgreSQL, and PyIceberg examples.",Build a $0 production-shaped lakehouse for learning and prototyping.,medium,"OSS,Iceberg,Lakehouse,Python",Jupyter Notebook,2025-12-31,2026-01-03,1,
ai-dlc,AI-DLC Slide Decks,https://github.com/senthilsweb/ai-dlc,Reveal.js slide decks built with a shared house style — currently the AI-DLC teaching deck following the live build of agent-job-matcher.,Teaching material for the AI Development Life Cycle methodology.,medium,"OSS,AI,Education,Reveal.js",HTML,2026-07-12,2026-07-25,0,
www-senthilsweb-com,www.senthilsweb.com,https://github.com/senthilsweb/www.senthilsweb.com,"This website: Astro static site with blog + LinkedIn feed served from a parquet file, zod-typed content, Pagefind search, satori OG cards.","Minimal, spec-driven personal website — every list on it (including this one) is a parquet file.",medium,"OSS,Astro,Parquet,Zod",Astro,2025-01-01,2026-07-25,0,
privacyshield,Privacy Shield,https://github.com/senthilsweb/privacyshield,"Secure text processing with LLMs, protecting PII using Presidio and LangChain.","Detect, anonymize, and reversibly transform PII before sending text to LLMs.",small,"OSS,Privacy,NLP,LLM",TypeScript,2024-12-30,2026-04-27,4,https://privacyshield.nathansweb.com/
open-lineage-proxy,OpenLineage Proxy,https://github.com/senthilsweb/open-lineage-proxy,Proxy utilities for OpenLineage data lineage events.,Capture and forward OpenLineage events for pipeline observability.,small,"OSS,Data-Lineage,Observability",HTML,2025-06-10,2026-07-25,0,
dbt-duckdb-tickit-pipeline,dbt-DuckDB Tickit Pipeline,https://github.com/senthilsweb/dbt-duckdb-tickit-pipeline,"Data engineering workflow using dbt with DuckDB for the TickitDB schema, focusing on local data lake development.",Local-first dbt development against DuckDB with a realistic schema.,small,"OSS,dbt,DuckDB,Data-Engineering",Shell,2024-04-16,2024-05-12,0,
observability,OpenTelemetry Observability,https://github.com/senthilsweb/observability,"OpenTelemetry logging and visualization using OpenObserve, with Otel and Fluent Bit collectors.","Drop-in o11y stack for logs today, traces and metrics tomorrow.",small,"OSS,Observability,OpenTelemetry",Shell,2024-08-26,2024-09-08,1,
instagram-scraper,Instagram Scraper,https://github.com/senthilsweb/instagram-scraper,"Simple, serverless Instagram scraper that fetches posts as base64 images, no API key required.",Effortless content repurposing from Instagram posts.,small,"OSS,Scraper,Serverless",TypeScript,2024-09-01,2024-09-01,18,
social-card,Social Card,https://github.com/senthilsweb/social-card,"Dynamic image generator for business, profile, and social cards using Vercel Open Graph, Next.js, and TailwindCSS.",Generate visually appealing share cards on the edge.,small,"OSS,Next.js,OG-Images",TypeScript,2024-09-08,2024-09-10,0,
web2pdf,Web2PDF,https://github.com/senthilsweb/web2pdf,Webpage to PDF using Puppeteer.,Lightweight PDF export microservice for blog articles and profile cards.,small,"OSS,Puppeteer,PDF",JavaScript,2024-12-27,2024-12-27,0,
templrjs-llm-chat-webui,TemplrJS LLM Chat WebUI,https://github.com/senthilsweb/templrjs-llm-chat-webui,"Simple LLM chat web GUI for models hosted in local Ollama and Cloudflare, using generic chat-completions API.",Edge-optimized GenAI chat with context injection for local and cloud models.,small,"OSS,LLM,Ollama,Next.js",TypeScript,2025-02-03,2025-02-03,0,
notifier,Notifier,https://github.com/senthilsweb/notifier,"Multipurpose notification library to send mail, text, Slack, push, Telegram notifications.",One Go library for every notification channel.,small,"OSS,Go,Notifications",Go,2021-10-10,2021-11-05,0,
zybots,Zybots,https://github.com/senthilsweb/zybots,"Tiny utility functions in Python, Golang, and Node.js that act like software bots.",Grab-bag of automation bots and utility scripts.,small,"OSS,Python,Go,Automation",Python,2021-12-11,2022-12-14,0,
mongodb-change-event-stream-go,MongoDB Change Streams (Go),https://github.com/senthilsweb/mongodb-change-event-stream-go,MongoDB change event streaming implemented in Go.,React to database changes in real time from Go services.,small,"OSS,Go,MongoDB,Streaming",Go,2023-05-11,2022-02-22,0,
sql-datawarehouse-project,SQL Data Warehouse,https://github.com/senthilsweb/sql-datawarehouse-project,"Data warehousing with SQL Server: ETL processes, data modeling, and analysis.",Classic warehouse build-out reference with medallion-style layers.,small,"OSS,SQL,Data-Warehouse,ETL",TSQL,2025-05-21,2025-04-15,1,
pgopenbeerdb,pgOpenBeerDB,https://github.com/senthilsweb/pgOpenBeerDB,"PostgreSQL port of the community OpenBeerDB dataset (credit: openbeerdb.com) — not my data, my packaging.",Sample relational dataset for demos and teaching.,small,"OSS,Port,PostgreSQL,Datasets",PLpgSQL,2023-05-24,2022-10-10,0,
reach,Reach Helpdesk,https://github.com/senthilsweb/reach,Open-source helpdesk system in AngularJS + Sails.js with MongoDB RESTful services.,Full helpdesk product from the early Node.js era.,small,"OSS,Legacy,Node.js,AngularJS",JavaScript,2015-03-01,2015-03-08,1,
strobe,Strobe,https://github.com/senthilsweb/strobe,"Sails.js web application starter with Bootstrap/JQuery widgets, MongoDB, and RabbitMQ for rapid application development.",RAD starter kit from the 2014 Node.js stack.,small,"OSS,Legacy,Node.js,Sails.js",JavaScript,2014-05-29,2014-12-02,0,
inbound-email-processor,Inbound Email Processor,https://github.com/senthilsweb/inbound-email-processor,"Node.js script to monitor incoming emails and process them — store in MongoDB, file system, or call a webhook.",Email-driven automation before serverless made it easy.,small,"OSS,Legacy,Node.js,Automation",JavaScript,2014-12-07,2014-12-07,3,
email2twitter,Email2Twitter,https://github.com/senthilsweb/Email2Twitter,"Node.js pipeline that extracts patterns from an email inbox and posts to Twitter, persisting to MongoDB.",Early social-media automation experiment (server + web client).,small,"OSS,Legacy,Node.js,Automation",JavaScript,2014-01-18,2014-01-25,0,
sakura,Sakura,https://github.com/senthilsweb/sakura,"Custom, modern, enterprise-scale Microsoft .NET server application architecture — data-driven APIs with a scalable, service-oriented architecture.",Enterprise .NET application blueprint from the pre-cloud era.,small,"OSS,Legacy,.NET,Architecture",C#,2016-01-17,2016-01-26,0,
locations-plotter,Locations Plotter,https://github.com/senthilsweb/locations-plotter,Plot lat/lon coordinates in all 8 directions for a given location and distance.,Geo utility for coverage and radius calculations.,small,"OSS,Legacy,JavaScript,Geo",JavaScript,2016-01-23,2016-01-23,0,
