urn_id,urn_kind,post_url,published_at,impressions,engagements,topic_slug,matched_kind,matched_id,matched_title,snapshot_date
7446009837345382400,share,https://www.linkedin.com/posts/senthilsweb_golang-nextjs-devtools-share-7446009837345382400-Tc4_,2026-04-04T01:44:45.396Z,1023,17,golang-nextjs-devtools,post,7446009838691586048,Imagine having everything a developer needs packed into a single ~20MB binary…,2026-07-27
7456041569096396801,ugcPost,https://www.linkedin.com/posts/senthilsweb_pentaho-pict-qualityengineering-ugcPost-7456041569096396801-K7jv,2026-05-01T18:07:16.626Z,850,13,pentaho-pict-qualityengineering,article,7456011700304134144,Applying combinatorial science and discrete mathematics to data-platform engineering and testing,2026-07-27
7412123749816356865,ugcPost,https://www.linkedin.com/posts/senthilsweb_setting-up-a-local-and-cloud-environment-ugcPost-7412123749816356865-b0LT,2025-12-31T13:33:32.556Z,703,13,setting-up-a-local-and-cloud-environment,article,7412112963773292546,"Part 1 - Building a $0 Data Lakehouse with Apache Iceberg, Nessie, Neon, and Cloudflare R2",2026-07-27
7416173488673345536,ugcPost,https://www.linkedin.com/posts/senthilsweb_ai-analytics-and-agents-are-exciting-but-ugcPost-7416173488673345536-M46C,2026-01-11T17:45:45.540Z,638,14,ai-analytics-and-agents-are-exciting-but,article,7416152929822552064,Medallion Architecture & Star Schema: Old Concepts Powering Modern AI Pipelines,2026-07-27
7453932765043048448,share,https://www.linkedin.com/posts/senthilsweb_aws-linux-whatsmyip-share-7453932765043048448-xF4Z,2026-04-25T22:27:38.560Z,633,7,aws-linux-whatsmyip,post,7453932766288674816,Here's a small AWS/Linux tip I learned recently,2026-07-27
7486608378752880641,ugcPost,https://www.linkedin.com/posts/senthilsweb_i-have-developed-a-working-demo-that-transforms-ugcPost-7486608378752880641-FvQg,2026-07-25T02:28:51.952Z,606,1,i-have-developed-a-working-demo-that-transforms,article,7486605709783142402,Not Enough Benchmarks for AI-Native Delivery,2026-07-27
7484275002461204481,ugcPost,https://www.linkedin.com/posts/senthilsweb_part-3-of-6-in-my-production-grade-agents-ugcPost-7484275002461204481-nBtU,2026-07-18T15:56:51.692Z,575,4,part-3-of-6-in-my-production-grade-agents,article,7484261426950303744,"Anatomy of a Bolt — Ceremonies, Evals, Rubrics, and Traces on a Real Feature",2026-07-27
7485442040864886785,ugcPost,https://www.linkedin.com/posts/senthilsweb_pharma-learned-something-decades-before-genai-ugcPost-7485442040864886785-aax6,2026-07-21T21:14:15.330Z,571,4,pharma-learned-something-decades-before-genai,article,7485434524181417985,What Pharma Can Teach AI Engineering About Trust,2026-07-27
7415499183484379136,ugcPost,https://www.linkedin.com/posts/senthilsweb_for-a-long-time-i-have-written-code-named-ugcPost-7415499183484379136-ZnWL,2026-01-09T21:06:18.655Z,541,9,for-a-long-time-i-have-written-code-named,article,7415491783658414080,Naming Conventions I Use Daily.,2026-07-27
7485498868382507010,share,https://www.linkedin.com/posts/senthilsweb_every-week-new-ideas-emerge-around-ai-sdlc-share-7485498868382507010-f4Yc,2026-07-22T01:00:04.066Z,530,8,every-week-new-ideas-emerge-around-ai-sdlc,post,7485498869477310464,"Every week, new ideas emerge around AI-SDLC, spec-driven development, agentic…",2026-07-27
7451817368072253440,ugcPost,https://www.linkedin.com/posts/senthilsweb_templrgo-opensource-engineering-ugcPost-7451817368072253440-jBv3,2026-04-20T02:21:48.620Z,527,12,templrgo-opensource-engineering,article,7451810586969096193,"Why I’m Building TemplrGo: Turning Enterprise Engineering Pain into Open Source Productivity
",2026-07-27
7486030813331902466,share,https://www.linkedin.com/posts/senthilsweb_agentengineering-aiagents-memoryengineering-share-7486030813331902466-fWZH,2026-07-23T12:13:49.625Z,521,2,agentengineering-aiagents-memoryengineering,post,7486030816343654400,"Last week, I requested my linkedin-cover-image agent to utilize a darker…",2026-07-27
7412925133427867648,ugcPost,https://www.linkedin.com/posts/senthilsweb_sometimes-you-need-to-quickly-serve-html-ugcPost-7412925133427867648-vb6J,2026-01-02T18:37:57.298Z,510,5,sometimes-you-need-to-quickly-serve-html,article,7412922892230807552,One-Line Local Web Server with Python,2026-07-27
7412959495980478465,ugcPost,https://www.linkedin.com/posts/senthilsweb_apacheiceberg-datalakehouse-dataengineering-ugcPost-7412959495980478465-Snf6,2026-01-02T20:54:29.969Z,473,5,apacheiceberg-datalakehouse-dataengineering,article,7412954267088478208,Part 2 - Loading CSV Data into Apache Iceberg Tables with PyIceberg and PyArrow,2026-07-27
7471004220733857792,ugcPost,https://www.linkedin.com/posts/senthilsweb_nemotron-ultra-copilot-cli-the-0-power-ugcPost-7471004220733857792-F8l7,2026-06-12T01:03:30.769Z,432,11,nemotron-ultra-copilot-cli-the-0-power,post,7471004221698543617,Why pay for frontier models when NVIDIA hosts Nemotron 3 Ultra for free,2026-07-27
7243388886167556096,ugcPost,https://www.linkedin.com/posts/senthilsweb_gorules-businessrules-opensource-ugcPost-7243388886167556096-llaC,2024-09-21T22:41:26.120Z,411,2,gorules-businessrules-opensource,article,7243383970963292160,"Simplify Decision Logic with GoRules: An Embeddable Rules Engine for Python, Go, Rust, and NodeJS",2026-07-27
7447328774058242049,share,https://www.linkedin.com/posts/senthilsweb_functionpointestimation-ifpug-softwareengineering-share-7447328774058242049-0anv,2026-04-07T17:05:44.413Z,409,12,functionpointestimation-ifpug-softwareengineering,post,7447328775312281600,"When tools like Copilot, Claude code, Cursor, Codex etc.",2026-07-27
7486074528452800513,ugcPost,https://www.linkedin.com/posts/senthilsweb_common-building-blocks-in-modern-agent-frameworks-ugcPost-7486074528452800513-87om,2026-07-23T15:07:32.122Z,367,14,common-building-blocks-in-modern-agent-frameworks,post,7486074529379913730,"The landscape of agent frameworks is rapidly evolving, with new names appearing…",2026-07-27
7486083740499124224,share,https://www.linkedin.com/posts/senthilsweb_aiagents-langgraph-whisper-share-7486083740499124224-KT0D,2026-07-23T15:44:08.445Z,364,8,aiagents-langgraph-whisper,post,7486083742336417792,Introducing the latest addition to my agent fleet,2026-07-27
7486967062964092928,ugcPost,https://www.linkedin.com/posts/senthilsweb_astro-staticsite-opensource-ugcPost-7486967062964092928-PYM8,2026-07-26T02:14:08.932Z,349,1,astro-staticsite-opensource,article,7486961327715057664,From Yahoo Pages to Astro: 25 Years of Rebuilding My Personal Website,2026-07-27
7451448816643330048,ugcPost,https://www.linkedin.com/posts/senthilsweb_pentaho-datagovernance-datacatalog-ugcPost-7451448816643330048-4vaf,2026-04-19T01:57:19.112Z,317,5,pentaho-datagovernance-datacatalog,article,7451444491930091520,Beyond Detection: Why Epistemic Honesty Matters in Sensitive Data Discovery and Governance,2026-07-27
7483510882468147200,share,https://www.linkedin.com/posts/senthilsweb_recently-while-exploring-modern-ai-evaluation-share-7483510882468147200-1WF9,2026-07-16T13:20:31.289Z,293,7,recently-while-exploring-modern-ai-evaluation,post,7483510885441937408,"Recently, while exploring modern AI evaluation frameworks, I had a realization",2026-07-27
7448824325127704577,ugcPost,https://www.linkedin.com/posts/senthilsweb_diagramsascode-yaml-golang-ugcPost-7448824325127704577-3D5K,2026-04-11T20:08:31.574Z,292,4,diagramsascode-yaml-golang,article,7448817778737733632,I Replaced Five Design Tools with a YAML-First Visual Rendering Engine in TemplrGo,2026-07-27
7484656080267022336,share,https://www.linkedin.com/posts/senthilsweb_golang-opensource-aiagents-share-7484656080267022336-12xE,2026-07-19T17:11:07.721Z,279,5,golang-opensource-aiagents,post,7484656081412001792,I am setting up a production line for my open-source work — and the workers on…,2026-07-27
7448028906928062464,share,https://www.linkedin.com/posts/senthilsweb_what-if-ai-app-development-was-simpler-than-share-7448028906928062464-idXb,2026-04-09T15:27:49.097Z,277,4,what-if-ai-app-development-was-simpler-than,post,7448028908018520064,What if AI app development was simpler than expected,2026-07-27
7466873933749862400,ugcPost,https://www.linkedin.com/posts/senthilsweb_adaptive-data-governance-in-the-genai-era-ugcPost-7466873933749862400-BRQx,2026-05-31T15:31:13.615Z,244,9,adaptive-data-governance-in-the-genai-era,post,7466873934731198464,Adaptive DataGovOps — summarized on one page,2026-07-27
7456792080686723072,ugcPost,https://www.linkedin.com/posts/senthilsweb_a-practical-follow-up-to-my-privacy-engineering-ugcPost-7456792080686723072-9ph_,2026-05-03T19:49:32.533Z,238,6,a-practical-follow-up-to-my-privacy-engineering,post,7456792081718677504,"I have modernized my open-source Privacy Shield project into a simple,…",2026-07-27
7466673907136122880,share,https://www.linkedin.com/posts/senthilsweb_datagovernance-adaptivedatagovops-pentaho-share-7466673907136122880-qS7e,2026-05-31T02:16:23.554Z,206,3,datagovernance-adaptivedatagovops-pentaho,post,7466673908327432192,"Data governance requires an adaptive operating model, as it is not a…",2026-07-27
7487142879665209344,share,https://www.linkedin.com/posts/senthilsweb_adaptivedatagovops-datagovernance-opensource-share-7487142879665209344-W84U,2026-07-26T13:52:46.900Z,174,1,adaptivedatagovops-datagovernance-opensource,post,7487142880839565312,Meet DataGov — my new open-source data governance CLI,2026-07-27
7454577743851290625,share,https://www.linkedin.com/posts/senthilsweb_privacy-datagovernance-datacatalog-share-7454577743851290625-lkJF,2026-04-27T17:10:33.491Z,115,4,privacy-datagovernance-datacatalog,,,,2026-07-27
7453939829488291840,share,https://www.linkedin.com/posts/senthilsweb_whatsmyip-devops-routerip-share-7453939829488291840-CPJV,2026-04-25T22:55:42.855Z,112,2,whatsmyip-devops-routerip,post,7453939830444564480,Quick cloud-neutral tip to know your public IP from any terminal,2026-07-27
7206089567148331008,ugcPost,https://www.linkedin.com/posts/senthilsweb_dataengineering-datascience-aiml-ugcPost-7206089567148331008-aHoM,2024-06-11T00:27:15.478Z,71,0,dataengineering-datascience-aiml,article,7206077925471764481,Introducing Semantic Data Modeling with Malloy and DuckDB | MotherDuck | PostgreSQL | BigQuery,2026-07-27
7487164573511217152,share,https://www.linkedin.com/posts/senthilsweb_appliedmathematics-combinatorialscience-coveringarrays-share-7487164573511217152-nXdD,2026-07-26T15:18:59.116Z,66,1,appliedmathematics-combinatorialscience-coveringarrays,post,7487164575059058688,Pairwise Testing deserves more attention—especially now,2026-07-27
7238580098755436544,ugcPost,https://www.linkedin.com/posts/senthilsweb_observability-opentelemetry-dataenrichment-ugcPost-7238580098755436544-moYi,2024-09-08T16:13:01.858Z,64,0,observability-opentelemetry-dataenrichment,article,7238574988373422080,Mastering Otel collector - Filelog Receiver: Log Routing & Data Enrichment for Microservices,2026-07-27
7279662467515879424,ugcPost,https://www.linkedin.com/posts/senthilsweb_privacyengineering-ner-llm-ugcPost-7279662467515879424-2Epc,2024-12-31T00:59:41.844Z,61,2,privacyengineering-ner-llm,article,7279659058343645184,Privacy Engineering with LLMs: Safeguarding PII While Enhancing Text with Privacy Shield,2026-07-27
