title,linkedin_url,permalink,status,published_at_utc,published_at_et,published_timestamp_ms,created_at_utc,updated_at_utc,article_id,linkedIn_article_urn,entity_urn,initial_update_urn,social_detail_urn,article_type,language,version,featured,author_profile_urns,word_count,character_count,excerpt,embedded_links,cover_image_asset_urn,cover_image_url,cover_image_width,cover_image_height,cover_image_expires_at_utc,cover_image_caption,source_file,source_page_start,source_page_count,reported_total_articles
My View: The AI Era Is Distilling and Rewarding Elegant Engineers,https://www.linkedin.com/pulse/my-view-ai-era-distilling-rewarding-elegant-engineers-karuppaiah-4ps8e/,my-view-ai-era-distilling-rewarding-elegant-engineers-karuppaiah-4ps8e,PUBLISHED,2026-07-13T02:08:45.000Z,,,,,7482250925043036160,,,,,,,,,,0,,"The titles AI Engineer and Forward-Deployed Engineer may sound new, but many of the qualities behind them are not. In my view, an elegant software engineer may already possess nearly 70–75% of the foundation needed for these roles.",,,https://media.licdn.com/dms/image/v2/D4E12AQFdEHHolknGXw/article-cover_image-shrink_720_1280/B4EZ9ZQB0KJIAQ-/0/1783908807920?e=2147483647&v=beta&t=1TCkC32FyXO5N8wn4-_Xn_-rYj28Jeu3IG-GvZpWsVQ,,,,,,,,
"One Core, Four Doors — Shipping the Same AI Agent as CLI, REST, MCP Tool, and Chat",https://www.linkedin.com/pulse/one-core-four-doors-shipping-same-ai-agent-cli-rest-mcp-karuppaiah-uywee/,one-core-four-doors-shipping-same-ai-agent-cli-rest-mcp-karuppaiah-uywee,PUBLISHED,2026-07-12T15:03:41.000Z,,,,,7482070749864976384,,,,,,,,,,0,,"Production-Grade Agents, Built in the Open — Part 1 of 6 One Core, Four Doors (this article) Specs, Not Vibes Anatomy of a Bolt The LLM Never Scores Stop Burning Tokens on Grep AI Did the Typing I built an AI agent that compares a resume against job postings and returns evidence-grounded, determinis",,,https://media.licdn.com/dms/image/v2/D4E12AQHVVM9KqmJnCQ/article-cover_image-shrink_720_1280/B4EZ9WnrGkKoAQ-/0/1783864676391?e=2147483647&v=beta&t=3by-4g6lPXbbDNPlehfHZOho6dX-LC_Xkw3YoACfLnc,,,,,,,,
Telemetry and Observability for Claude Code,https://www.linkedin.com/pulse/telemetry-observability-claude-code-senthilnathan-karuppaiah-x75oe/,telemetry-observability-claude-code-senthilnathan-karuppaiah-x75oe,PUBLISHED,2026-07-07T02:30:43.000Z,,,,,7480080259649019905,,,,,,,,,,0,,"Where this started? In my previous article, This Cover Image Was Not Designed. It Was Orchestrated, I shared a fully working agent — a LinkedIn cover image generator built on Vercel's Eve agentic framework.",,,https://media.licdn.com/dms/image/v2/D4E12AQEZzydUXfN-SQ/article-cover_image-shrink_720_1280/B4EZ86W60QIwAQ-/0/1783390518227?e=2147483647&v=beta&t=vyGGYC2jABjzi20wcgFyOu9saBG9nOpLlZHz0sJzmZ8,,,,,,,,
This Cover Image Was Not Designed. It Was Orchestrated,https://www.linkedin.com/pulse/cover-image-designed-orchestrated-senthilnathan-karuppaiah-loajc/,cover-image-designed-orchestrated-senthilnathan-karuppaiah-loajc,PUBLISHED,2026-07-05T04:18:56.000Z,,,,,7479375900950618112,,,,,,,,,,0,,"Every cover image on my recent articles — including this one — was generated by a small open-source agent I built using vercel eve framework in TypeScript. One reasoning pass, one image call, everything else deterministic The phone call that triggered this article Yesterday my article ""Job Hunting I",,,https://media.licdn.com/dms/image/v2/D5612AQGcKAnNBDuthA/article-cover_image-shrink_720_1280/B56Z8wcADzIgAQ-/0/1783224081084?e=2147483647&v=beta&t=4N3yk1tG2QZbIJfuAlyt5sCR3CvwdE_EvxynNrNx9Bo,,,,,,,,
Job Hunting Is a Data Problem. I Treated It Like One.,https://www.linkedin.com/pulse/job-hunting-data-problem-i-treated-like-one-senthilnathan-karuppaiah-g4kcc/,job-hunting-data-problem-i-treated-like-one-senthilnathan-karuppaiah-g4kcc,PUBLISHED,2026-07-03T12:58:19.000Z,,,,,7478784167124627456,,,,,,,,,,0,,"Every job posting is a row of data. Recently I had reason to read a lot of them, and within two days I noticed something familiar.",,,https://media.licdn.com/dms/image/v2/D5612AQHnX6fwqgFNXg/article-cover_image-shrink_720_1280/B56Z8n_iEbGcAQ-/0/1783082400855?e=2147483647&v=beta&t=-6wf0FUjIYDdbJgR4RBLO6ZVFsi3LSeMCnVWw5JwwkE,,,,,,,,
From Test Cases to Capabilities: A Testing Architecture for Agentic AI-Augmented Quality Engineering,https://www.linkedin.com/pulse/from-test-cases-capabilities-testing-architecture-karuppaiah-1hfte/,from-test-cases-capabilities-testing-architecture-karuppaiah-1hfte,PUBLISHED,2026-05-25T14:45:56.000Z,,,,,7464664054951845889,,,,,,,,,,0,,"At Pentaho, we did not ""add AI"" to Quality Engineering (QE). We are re-architecting QE so AI can actually do the work — by replacing the scattered test plan with capability folders that every skill (drafting, pairwise design, triage, lint) reads and writes the same files a human reviewer would.",,,https://media.licdn.com/dms/image/v2/D4E12AQEu0ihu55ICgw/article-cover_image-shrink_720_1280/B4EZ5fYQUEGUAQ-/0/1779716660434?e=2147483647&v=beta&t=-dMClO81XtbLveHja4uLpWETwLSdJs4_7M4lA0Uw4oU,,,,,,,,
Applying combinatorial science and discrete mathematics to data-platform engineering and testing,https://www.linkedin.com/pulse/applying-combinatorial-science-discrete-mathematics-karuppaiah-qgste/,applying-combinatorial-science-discrete-mathematics-karuppaiah-qgste,PUBLISHED,2026-05-01T18:07:17.000Z,,,,,7456011700304134144,,,,,,,,,,0,,"When a product spans many data sources, several deployment targets, multiple connection types, and a wide set of overlapping capabilities, you don't have a test plan — you have a math problem. Here is how we apply combinatorial science at Pentaho to keep release confidence high without burning the t",,,https://media.licdn.com/dms/image/v2/D4E12AQHqq79DhJ_W9Q/article-cover_image-shrink_720_1280/B4EZ3kTHZ3H8AI-/0/1777651714843?e=2147483647&v=beta&t=pMGm6eMdDI8irF9MKPPxzsjgf5DGVxxxARY4mujvx9I,,,,,,,,
"Why I’m Building TemplrGo: Turning Enterprise Engineering Pain into Open Source Productivity
",https://www.linkedin.com/pulse/why-im-building-templrgo-turning-enterprise-pain-open-karuppaiah-zokre/,why-im-building-templrgo-turning-enterprise-pain-open-karuppaiah-zokre,PUBLISHED,2026-04-20T02:21:49.000Z,,,,,7451810586969096193,,,,,,,,,,0,,"TemplrGo Feature Sets For the last two and a half decades, I’ve worked in enterprise software engineering across product development, architecture, testing, and platform operations. For the last decade, I’ve been leading engineering initiatives around complex data platforms, including my current rol",,,https://media.licdn.com/dms/image/v2/D4E12AQHcb6KWuNAZ3g/article-cover_image-shrink_720_1280/B4EZ2os1.jJ8AI-/0/1776651830786?e=2147483647&v=beta&t=y3p8G7E28BnryZQApYIAheq4-lonsjabFVoryjYtBTM,,,,,,,,
Beyond Detection: Why Epistemic Honesty Matters in Sensitive Data Discovery and Governance,https://www.linkedin.com/pulse/beyond-detection-why-epistemic-honesty-matters-data-karuppaiah-u3tke/,beyond-detection-why-epistemic-honesty-matters-data-karuppaiah-u3tke,PUBLISHED,2026-04-19T01:57:19.000Z,,,,,7451444491930091520,,,,,,,,,,0,,"One underrated principle in data discovery and data catalog products: epistemic honesty. When a sensitive data scan flags PII, PHI, PCI, or other regulated data, the product should be transparent about: what it detected why it detected it how confident it is whether the result is heuristic, ML-infer",,,https://media.licdn.com/dms/image/v2/D4E12AQEFGbekvzrHDg/article-cover_image-shrink_720_1280/B4EZ2jc_ztIgAM-/0/1776563786148?e=2147483647&v=beta&t=gHLnk6oWZgC8aO5K5I7Eh5z2GzPeh4fxe58gm_Wtlyg,,,,,,,,
I Replaced Five Design Tools with a YAML-First Visual Rendering Engine in TemplrGo,https://www.linkedin.com/pulse/i-replaced-five-design-tools-yaml-first-visual-engine-karuppaiah-yhzxe/,i-replaced-five-design-tools-yaml-first-visual-engine-karuppaiah-yhzxe,PUBLISHED,2026-04-11T20:08:32.000Z,,,,,7448817778737733632,,,,,,,,,,0,,Every week I need a different visual. Architecture diagram for a client presentation.,,,https://media.licdn.com/dms/image/v2/D4E12AQE_gN-tLd1gWw/article-cover_image-shrink_720_1280/B4EZ1.Fs45HcAM-/0/1775936918278?e=2147483647&v=beta&t=32M7uDKHeYnDnaPyBvvkUa1biZYCpTAwbGf3erY5RPc,,,,,,,,
Lua Is Quietly Becoming My Favorite Extension Layer,https://www.linkedin.com/pulse/lua-quietly-becoming-my-favorite-extension-layer-karuppaiah-d6ope/,lua-quietly-becoming-my-favorite-extension-layer-karuppaiah-d6ope,PUBLISHED,2026-04-02T01:24:02.000Z,,,,,7445277384599093248,,,,,,,,,,0,,"One of the projects I’m working on is built on Go and Next.js — Go powers the server, and Next.",,,https://media.licdn.com/dms/image/v2/D4E12AQENp2dtEZMbHw/article-cover_image-shrink_720_1280/B4EZ1LxQOOGQAI-/0/1775092701299?e=2147483647&v=beta&t=pK5mEVI6IC9YwGhyK6n0fd2lhMNj52u_MAinKGnLYAg,,,,,,,,
Medallion Architecture & Star Schema: Old Concepts Powering Modern AI Pipelines,https://www.linkedin.com/pulse/medallion-architecture-star-schema-old-concepts-ai-karuppaiah-pifle/,medallion-architecture-star-schema-old-concepts-ai-karuppaiah-pifle,PUBLISHED,2026-01-11T17:45:46+00:00,2026-01-11T12:45:46-05:00,1768153546000,2026-01-11T16:24:03+00:00,2026-05-30T21:59:32+00:00,7416152929822552064,urn:li:linkedInArticle:7416152929822552064,urn:li:fsd_firstPartyArticle:7416152929822552064,urn:li:ugcPost:7416173488673345536,"urn:li:fsd_socialDetail:(urn:li:ugcPost:7416173488673345536,urn:li:ugcPost:7416173488673345536,urn:li:highlightedReply:-)",FIRST_PARTY_ARTICLE,en,146,False,urn:li:fsd_profile:ACoAAADG9mABI_Lra5WpN3iDphp-9_T65NYXSKU,674,4639,"You have a flat file or a table. You need metrics. So you write some joins, add aggregations, and ship it -> Nothing wrong with that, It works. But as data grows and questions multiply, that approach starts to crack. To illustrate a more sustainable path, I'll use an airports dataset — 19,793 records, 27 columns mixing GPS coordinates, facility codes, and certification details. Typical messy sourc",https://github.com/malloydata/malloy-samples/blob/main/data/airports.parquet; https://www.linkedin.com/pulse/introducing-semantic-data-modeling-malloy-duckdb-karuppaiah-ug56e/; https://www.malloydata.dev/; https://docs.pentaho.com/pba/semantic-model-editor; http://cube.dev,urn:li:digitalmediaAsset:D4E12AQHzhEX8HlB_rA,https://media.licdn.com/dms/image/v2/D4E12AQHzhEX8HlB_rA/article-cover_image-shrink_720_1280/B4EZuuD.yZL8AI-/0/1768151839027?e=1785369600&v=beta&t=4DKq8ttLtj7UgVeWX9Oa82YFWXq-cJX-27KXosVRMKE,1280,720,2026-07-30T00:00:00+00:00,,Pasted text(12).txt,10,10,39
Naming Conventions I Use Daily.,https://www.linkedin.com/pulse/naming-conventions-i-use-daily-senthilnathan-karuppaiah-r85ke/,naming-conventions-i-use-daily-senthilnathan-karuppaiah-r85ke,PUBLISHED,2026-01-09T21:06:19+00:00,2026-01-09T16:06:19-05:00,1767992779000,2026-01-09T20:36:54+00:00,2026-05-27T14:57:36+00:00,7415491783658414080,urn:li:linkedInArticle:7415491783658414080,urn:li:fsd_firstPartyArticle:7415491783658414080,urn:li:ugcPost:7415499183484379136,"urn:li:fsd_socialDetail:(urn:li:ugcPost:7415499183484379136,urn:li:ugcPost:7415499183484379136,urn:li:highlightedReply:-)",FIRST_PARTY_ARTICLE,en,67,False,urn:li:fsd_profile:ACoAAADG9mABI_Lra5WpN3iDphp-9_T65NYXSKU,118,787,"For a long time, I have written code, named files, and defined configuration and environment variables using a consistent style that felt natural. While I was familiar with terms like camelCase, PascalCase, and kebab-case, I often mixed up or forgot others. Here is my personal cheat sheet: Blog post URLs like my-awesome-post.md ? That's kebab-case. Environment variables like API_SECRET_KEY? That's",http://my-awesome-post.md; http://api.example.com; http://dot.case,urn:li:digitalmediaAsset:D4E12AQFROAlrPyylzQ,https://media.licdn.com/dms/image/v2/D4E12AQFROAlrPyylzQ/article-cover_image-shrink_720_1280/B4EZukee9TLUAI-/0/1767991013666?e=1785369600&v=beta&t=ybRNBclct_vv_NOxWIQKcsmTPhjOqXYGztbTAi9MW-Y,1114,627,2026-07-30T00:00:00+00:00,,Pasted text(12).txt,10,10,39
Part 2 - Loading CSV Data into Apache Iceberg Tables with PyIceberg and PyArrow,https://www.linkedin.com/pulse/part-2-loading-csv-data-apache-iceberg-tables-karuppaiah-fve8e/,part-2-loading-csv-data-apache-iceberg-tables-karuppaiah-fve8e,PUBLISHED,2026-01-02T20:54:30+00:00,2026-01-02T15:54:30-05:00,1767387270000,2026-01-02T20:33:43+00:00,2026-05-27T21:07:42+00:00,7412954267088478208,urn:li:linkedInArticle:7412954267088478208,urn:li:fsd_firstPartyArticle:7412954267088478208,urn:li:ugcPost:7412959495980478465,"urn:li:fsd_socialDetail:(urn:li:ugcPost:7412959495980478465,urn:li:ugcPost:7412959495980478465,urn:li:highlightedReply:-)",FIRST_PARTY_ARTICLE,en,44,False,urn:li:fsd_profile:ACoAAADG9mABI_Lra5WpN3iDphp-9_T65NYXSKU,551,3676,"In Part 1 - Building a $0 Data Lakehouse with Apache Iceberg, Nessie, Neon, and Cloudflare R2 , we set up the infrastructure — a Nessie catalog on Fly.io, Neon PostgreSQL for metadata, and Cloudflare R2 for object storage. All on free tiers. Now comes the interesting part: actually loading data into Iceberg tables . In this article, I'll walk you through a Python-based approach that: Reads CSV fil",https://www.linkedin.com/pulse/building-0-data-lakehouse-apache-iceberg-nessie-neon-r2-karuppaiah-lgeqe/; https://github.com/senthilsweb/apache-iceberg,urn:li:digitalmediaAsset:D4E12AQGmFG1TsfJF2Q,https://media.licdn.com/dms/image/v2/D4E12AQGmFG1TsfJF2Q/article-cover_image-shrink_720_1280/B4EZuAanaEGcAI-/0/1767386022709?e=1785369600&v=beta&t=1iz5NHi31IDTxWQ7i68BBmEIQoTULk8Rs-mKYxavJOU,1279,720,2026-07-30T00:00:00+00:00,,Pasted text(12).txt,10,10,39
One-Line Local Web Server with Python,https://www.linkedin.com/pulse/one-line-local-web-server-python-senthilnathan-karuppaiah-oa4xe/,one-line-local-web-server-python-senthilnathan-karuppaiah-oa4xe,PUBLISHED,2026-01-02T18:37:58+00:00,2026-01-02T13:37:58-05:00,1767379078000,2026-01-02T18:29:02+00:00,2026-05-26T13:08:50+00:00,7412922892230807552,urn:li:linkedInArticle:7412922892230807552,urn:li:fsd_firstPartyArticle:7412922892230807552,urn:li:ugcPost:7412925133427867648,"urn:li:fsd_socialDetail:(urn:li:ugcPost:7412925133427867648,urn:li:ugcPost:7412925133427867648,urn:li:highlightedReply:-)",FIRST_PARTY_ARTICLE,en,15,False,urn:li:fsd_profile:ACoAAADG9mABI_Lra5WpN3iDphp-9_T65NYXSKU,165,990,"Sometimes you just need to quickly serve some HTML files locally. Maybe you're testing a static site, previewing an SVG, or checking how your CSS looks in a browser. You don't need to install anything. Python has you covered. The Command That's it. One line. What It Does Serves files from your current directory Runs on http://localhost:8888 (or any port you specify) Zero configuration - just run a",http://localhost:8888,urn:li:digitalmediaAsset:D4E12AQGMUXWKQ8h2mA,https://media.licdn.com/dms/image/v2/D4E12AQGMUXWKQ8h2mA/article-cover_image-shrink_720_1280/B4EZt_.FjMJ4AM-/0/1767378542216?e=1785369600&v=beta&t=8ILDr76NSVNw-rDqX1GwvQavdlOdNPHtvStXGBTlVY4,1114,627,2026-07-30T00:00:00+00:00,,Pasted text(12).txt,10,10,39
Looking Back on 25 Years in Software Development,https://www.linkedin.com/pulse/looking-back-25-years-software-development-senthilnathan-karuppaiah-xulve/,looking-back-25-years-software-development-senthilnathan-karuppaiah-xulve,PUBLISHED,2025-12-31T23:35:16+00:00,2025-12-31T18:35:16-05:00,1767224116000,2025-12-31T23:24:04+00:00,2026-05-27T11:12:00+00:00,7412272364014702592,urn:li:linkedInArticle:7412272364014702592,urn:li:fsd_firstPartyArticle:7412272364014702592,urn:li:ugcPost:7412275177209839616,"urn:li:fsd_socialDetail:(urn:li:ugcPost:7412275177209839616,urn:li:ugcPost:7412275177209839616,urn:li:highlightedReply:-)",FIRST_PARTY_ARTICLE,en,14,False,urn:li:fsd_profile:ACoAAADG9mABI_Lra5WpN3iDphp-9_T65NYXSKU,272,1674,"This year marks 25 years since I started in software development. As I look back, I'm filled with gratitude for everyone who shaped this journey. To my mentors who saw potential when I couldn't, to colleagues who challenged me to think differently, and to the open source community that welcomed contributions from a curious developer — thank you. Every code review, every late-night debugging sessio",,urn:li:digitalmediaAsset:D4E12AQERpJM2LzQoXA,https://media.licdn.com/dms/image/v2/D4E12AQERpJM2LzQoXA/article-cover_image-shrink_720_1280/B4EZt2uboIIsAM-/0/1767223443819?e=1785369600&v=beta&t=2ydaiBPrji2Z0nH0NWlEH1Vmj6seH3Qd4tbQaIg_LBM,1114,627,2026-07-30T00:00:00+00:00,,Pasted text(12).txt,10,10,39
"Part 1 - Building a $0 Data Lakehouse with Apache Iceberg, Nessie, Neon, and Cloudflare R2",https://www.linkedin.com/pulse/building-0-data-lakehouse-apache-iceberg-nessie-neon-r2-karuppaiah-lgeqe/,building-0-data-lakehouse-apache-iceberg-nessie-neon-r2-karuppaiah-lgeqe,PUBLISHED,2025-12-31T13:33:33+00:00,2025-12-31T08:33:33-05:00,1767188013000,2025-12-31T12:50:40+00:00,2026-05-27T08:28:15+00:00,7412112963773292546,urn:li:linkedInArticle:7412112963773292546,urn:li:fsd_firstPartyArticle:7412112963773292546,urn:li:ugcPost:7412123749816356865,"urn:li:fsd_socialDetail:(urn:li:ugcPost:7412123749816356865,urn:li:ugcPost:7412123749816356865,urn:li:highlightedReply:-)",FIRST_PARTY_ARTICLE,en,118,False,urn:li:fsd_profile:ACoAAADG9mABI_Lra5WpN3iDphp-9_T65NYXSKU,386,2612,"Modern data lakehouses typically require expensive infrastructure—object storage, metadata catalogs, and databases. But what if you could build a production-ready Apache Iceberg lakehouse using only free-tier services ? In this article, I'll show you how to set up a complete data lakehouse stack for $0/month using: Nessie - Git-like catalog for Apache Iceberg ( Fly.io free tier) Neon - Serverless ",http://Fly.io; https://neon.tech/; https://cloudflare.com/,urn:li:digitalmediaAsset:D4E12AQEl_ktGz_fmXQ,https://media.licdn.com/dms/image/v2/D4E12AQEl_ktGz_fmXQ/article-cover_image-shrink_720_1280/B4EZt0ewkMIQAM-/0/1767185779544?e=1785369600&v=beta&t=I_cJIB4VwL7n7VhPBUQ7e6rI4vHHWHTSi6xVWetDe4g,1116,628,2026-07-30T00:00:00+00:00,,Pasted text(12).txt,10,10,39
